allGaps,gapPerc,ko,loc,shannon Score,start,end
0,0.9974358974358974,K00927,0,0.02576454913517821,1614,1901
0,0.9974358974358974,K00927,1,0.02576454913517821,1614,1901
0,0.9974358974358974,K00927,2,0.02576454913517821,1614,1901
0,0.9974358974358974,K00927,3,0.02576454913517821,1614,1901
0,0.9974358974358974,K00927,4,0.02576454913517821,1614,1901
0,0.9974358974358974,K00927,5,0.02576454913517821,1614,1901
0,0.9974358974358974,K00927,6,0.02576454913517821,1614,1901
0,0.9974358974358974,K00927,7,0.02576454913517821,1614,1901
0,0.9974358974358974,K00927,8,0.02576454913517821,1614,1901
0,0.9948717948717949,K00927,9,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,10,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,11,0.04639138357369903,1614,1901
0,0.9948717948717949,K00927,12,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,13,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,14,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,15,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,16,0.04639138357369903,1614,1901
0,0.9948717948717949,K00927,17,0.04639138357369903,1614,1901
0,0.9948717948717949,K00927,18,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,19,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,20,0.04639138357369903,1614,1901
0,0.9948717948717949,K00927,21,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,22,0.04639138357369903,1614,1901
0,0.9948717948717949,K00927,23,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,24,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,25,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,26,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,27,0.04639138357369903,1614,1901
0,0.9948717948717949,K00927,28,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,29,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,30,0.04639138357369903,1614,1901
0,0.9948717948717949,K00927,31,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,32,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,33,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,34,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,35,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,36,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,37,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,38,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,39,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,40,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,41,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,42,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,43,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,44,0.05151958870190415,1614,1901
0,0.9948717948717949,K00927,45,0.04639138357369903,1614,1901
