"id","spanning","ko","basePerc","contigID"
"contig00001","False","K00927","0.6341463414634146","K00927:contig00001"
"contig00002","True","K00927","0.6968641114982579","K00927:contig00002"
"contig00003","True","K00927","0.6968641114982579","K00927:contig00003"
"contig00004","True","K00927","0.6655052264808362","K00927:contig00004"
"contig00005","True","K00927","0.6968641114982579","K00927:contig00005"
"contig00006","True","K00927","0.6968641114982579","K00927:contig00006"
"contig00007","True","K00927","0.6968641114982579","K00927:contig00007"
"contig00008","True","K00927","0.7909407665505227","K00927:contig00008"
"contig00009","True","K00927","0.6968641114982579","K00927:contig00009"
"contig00010","True","K00927","0.7804878048780488","K00927:contig00010"
"contig00011","True","K00927","0.7909407665505227","K00927:contig00011"
"contig00012","True","K00927","0.6968641114982579","K00927:contig00012"
"contig00013","True","K00927","0.6968641114982579","K00927:contig00013"
"contig00014","True","K00927","0.6968641114982579","K00927:contig00014"
"contig00015","True","K00927","0.6968641114982579","K00927:contig00015"
"contig00016","True","K00927","0.6968641114982579","K00927:contig00016"
"contig00017","True","K00927","0.6968641114982579","K00927:contig00017"
"contig00018","True","K00927","0.8013937282229965","K00927:contig00018"
"contig00019","True","K00927","0.6968641114982579","K00927:contig00019"
"contig00020","True","K00927","0.6968641114982579","K00927:contig00020"
"contig00021","True","K00927","0.7909407665505227","K00927:contig00021"
"contig00022","True","K00927","0.6968641114982579","K00927:contig00022"
"contig00023","True","K00927","0.7909407665505227","K00927:contig00023"
"contig00024","True","K00927","0.6968641114982579","K00927:contig00024"
"contig00025","True","K00927","0.6968641114982579","K00927:contig00025"
"contig00026","True","K00927","0.6968641114982579","K00927:contig00026"
"contig00027","True","K00927","0.7491289198606271","K00927:contig00027"
"contig00028","True","K00927","0.6968641114982579","K00927:contig00028"
"contig00029","True","K00927","0.6968641114982579","K00927:contig00029"
"contig00030","True","K00927","0.6968641114982579","K00927:contig00030"
"contig00031","True","K00927","0.6968641114982579","K00927:contig00031"
"contig00032","True","K00927","0.6968641114982579","K00927:contig00032"
"contig00033","True","K00927","0.6968641114982579","K00927:contig00033"
"contig00034","True","K00927","0.7909407665505227","K00927:contig00034"
"contig00035","True","K00927","0.6968641114982579","K00927:contig00035"
"contig00036","True","K00927","0.6968641114982579","K00927:contig00036"
"contig00037","True","K00927","0.6968641114982579","K00927:contig00037"
"contig00038","True","K00927","0.6968641114982579","K00927:contig00038"
"contig00039","True","K00927","0.6968641114982579","K00927:contig00039"
"contig00040","True","K00927","0.6968641114982579","K00927:contig00040"
